Commodity,flow,series_id
322211 Corrugated & Solid Fiber Boxes,export,501
322211 Corrugated & Solid Fiber Boxes,import,502
322212 Folding Paperboard Boxes,export,503
322212 Folding Paperboard Boxes,import,504
322219 Other Paperboard Containers,export,505
322219 Other Paperboard Containers,import,506
32222 Paper Bags & Coated & Treated Paper,export,507
32222 Paper Bags & Coated & Treated Paper,import,508
322220 Paper Bag & Coated & Treated Paper,export,509
322220 Paper Bag & Coated & Treated Paper,import,510
32223 Stationery Products,export,511
32223 Stationery Products,import,512
322230 Stationery Products,export,513
322230 Stationery Products,import,514
32229 Other Converted Paper Products,export,515
32229 Other Converted Paper Products,import,516
322291 Sanitary Paper Products,export,517
322291 Sanitary Paper Products,import,518
322299 All Other Converted Paper Products,export,519
322299 All Other Converted Paper Products,import,520
"323 Printed Matter And Related Products, Nesoi",export,521
"323 Printed Matter And Related Products, Nesoi",import,522
"3231 Printed Matter And Related Products, Nesoi",export,523
"3231 Printed Matter And Related Products, Nesoi",import,524
32311 Print And Stationery Articles,export,525
32311 Print And Stationery Articles,import,526
323111 Commercial Printing (except Screen And Books),export,527
323111 Commercial Printing (except Screen And Books),import,528
"323117 Printed Books, Brochures & Similar Printed Matter",export,529
"323117 Printed Books, Brochures & Similar Printed Matter",import,530
32312 Printing Preparation Products,export,531
32312 Printing Preparation Products,import,532
"323120 Printing Type, Plates, Cylinders, Etc, Nesoi",export,533
"323120 Printing Type, Plates, Cylinders, Etc, Nesoi",import,534
324 Petroleum & Coal Products,export,535
324 Petroleum & Coal Products,import,536
3241 Petroleum & Coal Products,export,537
3241 Petroleum & Coal Products,import,538
32411 Petroleum Refinery Products,export,539
32411 Petroleum Refinery Products,import,540
324110 Petroleum Refinery Products,export,541
324110 Petroleum Refinery Products,import,542
32412 Asphalt Paving Mixtures,export,543
32412 Asphalt Paving Mixtures,import,544
324121 Asphalt Paving Mixtures,export,545
324121 Asphalt Paving Mixtures,import,546
324122 Asphalt Shingle & Coating Materials,export,547
324122 Asphalt Shingle & Coating Materials,import,548
32419 Other Petroleum And Coal Products,export,549
32419 Other Petroleum And Coal Products,import,550
324199 All Other Petroleum And Coal Products,export,551
324199 All Other Petroleum And Coal Products,import,552
325 Chemicals,export,553
325 Chemicals,import,554
3251 Basic Chemicals,export,555
3251 Basic Chemicals,import,556
