Commodity,flow,mu,sd
"31194 Seasonings, Dressings & Other Prep'd Sauces",export,18.84626073283168,0.13963289207160706
"31194 Seasonings, Dressings & Other Prep'd Sauces",import,19.195506095236293,0.1782257592041838
"311941 Mayonnaise, Dressings & Oth Prepared Sauces",export,18.402297360246056,0.1474008968804581
"311941 Mayonnaise, Dressings & Oth Prepared Sauces",import,18.254200179165974,0.2637459729512676
311942 Spices & Extracts,export,17.817160886889106,0.14805732202261523
311942 Spices & Extracts,import,18.693501722378127,0.15058077630832245
"31199 Other Foods, Nesoi",export,19.94935939084706,0.12001728596747302
"31199 Other Foods, Nesoi",import,19.58899882955676,0.2094461535746724
311991 Perishable Prepared Food,export,15.68227373857046,0.2148986402779229
311991 Perishable Prepared Food,import,16.41446738060822,0.3967719185838099
"311999 Other Foods, Nesoi",export,19.935030693567956,0.11980729232907841
"311999 Other Foods, Nesoi",import,19.544706830347955,0.2047715662153819
312 Beverages & Tobacco Products,export,20.422734770560513,0.12582773569606592
312 Beverages & Tobacco Products,import,21.52480483532337,0.16906950888121003
3121 Beverages,export,20.333657212746512,0.1329481736267413
3121 Beverages,import,21.4629067429525,0.17004202416079667
31211 Soft Drinks & Ices,export,18.454564092986146,0.11524784257227041
31211 Soft Drinks & Ices,import,19.54158593492623,0.15500841676135527
312111 Soft Drinks,export,18.32033218587352,0.11535309406028431
312111 Soft Drinks,import,19.352544150314582,0.1614554213326285
312112 Bottled Waters,export,15.406726673731649,0.2535078038891779
312112 Bottled Waters,import,17.463399649652448,0.262042543099622
312113 Ice,export,15.87193442917178,0.22171742237546882
312113 Ice,import,16.369831391064633,0.31110345566107944
31212 Malt & Beer,export,19.379500986493753,0.19878625136093897
31212 Malt & Beer,import,19.978289740914143,0.17680680527943657
312120 Malt And Beer,export,19.379500986493753,0.19878625136093897
312120 Malt And Beer,import,19.978289740914143,0.17680680527943657
"31213 Wines, Brandy, And Brandy Spirits",export,18.77452738318336,0.16917919264867712
"31213 Wines, Brandy, And Brandy Spirits",import,20.339031721385318,0.18181190904442948
"312130 Wines, Brandy, And Brandy Spirits",export,18.77452738318336,0.16917919264867712
"312130 Wines, Brandy, And Brandy Spirits",import,20.339031721385318,0.18181190904442948
31214 Distilled Liquors,export,18.91940354617363,0.21658510667028788
